nSocio,nombre,apellido,telefono,email
483,Ana María,García,634785902,agarcia@gmail.com
215,Carlos,Rodríguez,687349201,crod@gmail.com
908,Laura,Martínez,612843657,lm33@gmail.com
372,Juan,López,6531287405,jl1334a@gmailcom
651,Marta,Pérez,609472836,martita@gmail.com
290,Pedro,González,674530198,pedro664@gmail.com
845,Sofía,Sánchez,690248571,sofia@outlook.com
760,Diego,Fernández,613950284,fernan7753@gmail.com
134,Mariana,López,+34 6275938107,marial@gmail.com
529,Luis Manuel,Díaz,685237460,lmd@gmail.com
618,Pablo,Romero,690183452,pablo445gmail.com
746,Valeria,Herrera,674915326,valeriah@gmail.com
370,Andrés,Jiménez,61749283,aj33@gmail
912,Clara,Morales,+34 695312748,claramor6@gmail.com
803,David,Torres,631257940,davidt7@gmail.com
274,Isabel,Álvarez,603487251,isabelita7332@gmail.com
504,Jorge,Ramos,685034297,j.ramos@outlook.com
938,Carmen,Ruiz,667583910,carmen_ru@gmail.com
607,Roberto,Castro,+33 692478530,robertc@gmail
148,Lucía,Gil,612359874,lucia_gil@gmail..com
296,Fernando,Vargas,678493102,f.vargas@gmail.com
785,Teresa,Molina,60287513,teremo93@gmail.com
467,Manuel,Cruz,653729840,m.cruz@hotmail.de
890,Andrea,Gómez,+34 634802675,agomez@gmail.com
561,Javier,Díaz,609574213,jdiaz@gmail.com
142,Raúl,Mendoza,690251783,raul.mendoza@gmail.com
339,Elena,Ortega,+34 619348270,e_ortega@gmail.it
813,Juan Pedro,Navarro,675028493,jp448@gmail.com
475,Beatriz,Martín,623501748,bea1818@gmail.com
692,Iván,Iglesias,6543796212,ivan80@gmail.com
249,Patricia,Salazar,682539107,patri34gmail.com
804,Felipe,Reyes,671580249,f.reyes@gmail.com
153,Gabriela,Serrano,609743865,g.serrano@gmail.com
973,Víctor,Castillo,+34 693284517,vcastgmail.com
512,Alicia,Soto,630875492,asoto@gmail.com
364,Raquel,Moreno,656472918,rmoreno@gmail.com
820,Sergio,Delgado,+41 690134572,s.delgado@gmail.com
756,Rosa,Aguirre,617504382,rosa234@gmailcom
437,Carmen,Vázquez,630748259,carmen.vazquez@outlook.com
689,Alberto,Peña,642358710,a.pena@gmail.com
