Nombre;F/M;Apellido;Puesto;Equipo
Andrés;M;Molina;Portero;A
Jimena;F;Morales;Centro;F
Ximena;F;Rojas;Centro;A
Tatiana;F;Molina;Delantero;B
Carla;F;Calatrava;Delantero;C
Bianca María;F;Infante;Delantero;F
Ana Rosa;F;Descartes;Delantero;F
Felipe;M;Calatrava;Defensa;B
Luis;M;Infante;Delantero;C
Juan Pablo;M;Descartes;Centro;F
José Manuel;M;Peinado;Centro;A
Andrea;M;Pulido;Centro;B
Pilar;M;Mateo;Centro;C
César;M;Rincón;Centro;F
Mariano;M;Martín;Centro;A
Alejandro;M;García;Defensa;B
Nicolás;M;Soto;Portero;F
Camila;F;Rivas;Portero;C
Elena;F;Quiroz;Centro;F
Nicole;F;Zamora;Centro;A
Jessica;F;Montero;Centro;B
Regina;F;Ruiz;Delantero;C
María Teresa;F;Castro;Centro;F
Sara;F;Mendoza;Centro;A
Alejandra;F;Romero;Centro;B
Laura;F;Silva;Centro;C
Pablo;M;Cruz;Portero;A
César;M;Rincón;Centro;F
Mariano;M;Martín;Centro;A
Alejandro;M;García;Defensa;B
Nicolás;M;Soto;Portero;F
Camila;F;Rivas;Portero;C
Elena;F;Quiroz;Centro;F
Nicole;F;Zamora;Centro;A
Jessica;F;Montero;Centro;B
Ramón;M;Villanueva;Portero;B
Raúl;M;Guerrero;Portero;C
Ricardo;M;León;Centro;F
Roberto;M;Jiménez;Centro;A
Andrés;M;Rodríguez;Centro;C
Antonio;M;Martínez;Centro;F
Bruno;M;López;Delantero;A
Carlos;M;Sánchez;Delantero;B
Daniel;M;Pérez;Delantero;C
David;M;González;Delantero;F
Diego;M;Díaz;Delantero;A
Emiliano;M;Hernández;Defensa;B
Fernando;M;Romero;Defensa;C
Francisco;M;Torres;Defensa;F
Gabriel;M;Vargas;Defensa;A
Antonio;M;Martínez;Centro;F
Bruno;M;López;Delantero;A
Carlos;M;Sánchez;Delantero;B
Daniel;M;Pérez;Delantero;C
David;M;González;Delantero;F
Diego;M;Díaz;Delantero;A
Guillermo;M;Jiménez;Defensa;B
Héctor;M;Moreno;Delantero;C
Hugo;M;Ruiz;Delantero;F
Ismael;M;Castro;Defensa;A
Javier;M;Mendoza;Defensa;B
Jesús;M;Romero;Defensa;C
Joaquín;M;Silva;Defensa;F
Julián;M;Morales;Delantero;A
Carla;F;Calatrava;Delantero;C
Bianca María;F;Infante;Delantero;F
Ana Rosa;F;Descartes;Delantero;F
Leonardo;M;Rojas;Delantero;B
Luis;M;Ortega;Delantero;C
Manuel;M;Delgado;Delantero;F
Mario;M;Salazar;Delantero;A
Martín;M;Cordero;Delantero;B
Mateo;M;Paredes;Portero;C
Nicolás;M;Soto;Portero;F
Pablo;M;Cruz;Portero;A
Ramón;M;Villanueva;Portero;B
Raúl;M;Guerrero;Portero;C
Ricardo;M;León;Centro;F
Roberto;M;Jiménez;Centro;A
Samuel;M;Navarro;Delantero;B
Sergio;M;Aguirre;Delantero;C
Tomás;M;Ríos;Centro;F
Víctor;M;Rivas;Centro;A
Adrián;M;Quiroz;Centro;B
Esteban;M;Zamora;Centro;C
Gonzalo;M;Montero;Centro;F
Iván;M;Bravo;Centro;A
Mauricio;M;Camacho;Defensa;B
Renato;M;Acosta;Defensa;C
Simón;M;Medina;Defensa;F
Santiago;M;Contreras;Defensa;A
Valentín;M;Sandoval;Defensa;B
Óscar;M;Alvarado;Defensa;C
Leonardo;M;Montes;Defensa;F
Cristian;M;Cárdenas;Defensa;A
Axel;M;Quiñones;Defensa;B
Alan;M;Andra;Defensa;C
Ana;F;Morales;Delantero;F
María;F;Rojas;Delantero;A
Laura;F;Ortega;Delantero;B
Isabel;F;Delgado;Defensa;C
Pablo;M;Cruz;Portero;A
César;M;Rincón;Centro;F
Mariano;M;Martín;Centro;A
Alejandro;M;García;Defensa;B
Nicolás;M;Soto;Portero;F
Camila;F;Rivas;Portero;C
Carmen;F;Acosta;Defensa;F
Sofía;F;Medina;Defensa;A
Valentina;F;Contreras;Defensa;B
Lucía;F;Sandoval;Defensa;C
Gabriela;F;Villanueva;Defensa;F
Mariana;F;Guerrero;Defensa;A
Paula;F;León;Portero;B
Fernanda;F;Jiménez;Defensa;C
Daniela;F;Navarro;Defensa;F
Andrea;F;Aguirre;Delantero;A
Juliana;F;Ríos;Portero;B
Martín;M;Cordero;Delantero;B
Mateo;M;Paredes;Portero;C
Nicolás;M;Soto;Portero;F
Pablo;M;Cruz;Portero;A
Ramón;M;Villanueva;Portero;B
Raúl;M;Guerrero;Portero;C
Ricardo;M;León;Centro;F
Roberto;M;Jiménez;Centro;A
Camila;F;Rivas;Portero;C
Elena;F;Quiroz;Centro;F
Nicole;F;Zamora;Centro;A
Jessica;F;Montero;Centro;B
Regina;F;Ruiz;Delantero;C
María Teresa;F;Castro;Centro;F
Sara;F;Mendoza;Centro;A
Alejandra;F;Romero;Centro;B
Laura;F;Silva;Centro;C
Alejandro;M;García;Defensa;B
Andrés;M;Rodríguez;Centro;C
Antonio;M;Martínez;Centro;F
Bruno;M;López;Delantero;A
Carlos;M;Sánchez;Delantero;B
Daniel;M;Pérez;Delantero;C
David;M;González;Delantero;F
Jimena;F;Morales;Centro;F
Ximena;F;Rojas;Centro;A
Tatiana;F;Molina;Delantero;B
Carla;F;Calatrava;Delantero;C
Bianca María;F;Infante;Delantero;F
Ana Rosa;F;Descartes;Delantero;F
